Name,Second Dolch
Word,Sentences
always,I always brush my teeth.^She is always happy.^He always helps me.
around,We ran around the park.^Look around the room.^The cat walked around the table.
because,I stayed inside because it rained.^She is happy because she won.^I am tired because I ran fast.
been,I have been to the zoo.^She has been very kind.^We have been friends for years.
before,Wash your hands before eating.^I saw him before school.^Think before you speak.
best,She is my best friend.^I did my best work.^This is the best day ever.
both,Both cats are white.^I like both apples and oranges.^We both ran fast.
buy,I will buy a toy.^Can you buy some milk?^He wants to buy a book.
call,Call your mom.^She will call later.^I need to call him.
cold,The water is cold.^It is cold outside.^I have a cold.
does,He does his homework.^Does she like ice cream?^She does help us.
don’t,Don’t run in the hall.^I don’t know.^They don’t like carrots.
fast,He runs fast.^The car is fast.^We ate fast.
first,I came in first.^She was the first to arrive.^This is my first try.
five,I have five pencils.^She saw five birds.^There are five cookies.
found,I found my shoes.^He found a coin.^She found a new book.
gave,She gave me a gift.^He gave his friend a toy.^I gave them a hug.
goes,He goes to school.^She goes with us.^It goes over the hill.
green,The tree is green.^I have a green hat.^She drew a green circle.
its,The cat licked its paw.^The dog wagged its tail.^Its color is red.
made,She made a cake.^I made a picture.^He made a card for me.
many,There are many birds.^She has many toys.^I have seen many flowers.
off,Take off your shoes.^The cat jumped off the table.^He ran off quickly.
or,Do you want tea or juice?^Is it red or blue?^You can sit here or there.
pull,Pull the door open.^She will pull the cart.^He pulls the rope.
read,I can read a book.^She likes to read.^Read this story.
right,Turn right at the corner.^You are right.^He raised his right hand.
sing,We sing a song.^She likes to sing.^They sing together.
sit,Please sit down.^The cat will sit here.^We sit in class.
sleep,I want to sleep.^The baby is asleep.^He will sleep soon.
tell,Please tell me.^I will tell a story.^She told him the truth.
their,Their dog is big.^They washed their hands.^I saw their house.
these,These are my shoes.^I like these books.^Look at these flowers.
those,Those are my friends.^I want those toys.^See those birds.
upon,Once upon a time.^He stepped upon the rock.^She looked upon the sea.
us,Give us a hand.^They helped us.^Come with us.
use,Can I use this?^We use pencils to write.^She will use the computer.
very,She is very kind.^It is very cold.^I am very happy.
wash,Wash your hands.^I will wash the dishes.^She washes the dog.
which,Which book do you want?^I don’t know which way to go.^Which color is yours?
why,Why are you sad?^I don’t know why.^Tell me why you ran.
wish,I wish for a toy.^He made a wish.^She wishes to play outside.
work,I will work hard.^He goes to work.^She works at the store.
would,I would like some juice.^She would help you.^He would go too.
write,I can write my name.^Please write a letter.^She writes in her notebook.
your,Is this your hat?^I like your bag.^Your dog is cute.
